%time      con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
996063696     350.0     349.9        15.4     56.4         0        0
996063997     350.0     349.9        15.7     56.4         0        0
996064299     350.0     349.9        15.6     56.4         0        0
996064600     350.0     349.9        15.2     56.4         0        0
996064901     350.0     349.9        15.1     56.4         0        0
996065202     350.0     349.9        15.6     56.4         0        0
996065503     350.0     349.9        15.0     56.4         0        0
996065804     350.0     349.9        15.3     56.4         0        0
996066105     350.0     349.9        15.8     56.4         0        0
996066406     350.0     349.9        14.8     56.4         0        0
996066707     350.0     349.9        15.4     56.4         0        0
996067008     350.0     349.9        15.0     56.4         0        0
996067309     350.0     349.9        15.3     56.4         0        0
996067611     350.0     349.9        14.9     56.4         0        0
996067912     350.0     349.9        16.1     56.4         0        0
996068213     350.0     349.9        14.3     56.4         0        0
996068514     350.0     349.9        15.3     56.4         0        0
996068815     350.0     349.9        15.6     56.4         0        0
996069116     350.0     349.9        16.5     56.4         0        0
996069417     350.0     349.9        15.4     56.4         0        0
996069718     350.0     349.9        15.4     56.4         0        0
996070019     350.0     349.9        14.5     56.4         0        0
996070320     350.0     303.2        99.3     48.4     12509        0
996070626     350.0     349.8        17.6     49.7        48        0
996070928     350.0     349.9        14.2     56.4         0        0
996071229     350.0     349.9        15.9     56.4         0        0
996071530     350.0     349.9        16.2     56.4         0        0
996071831     350.0     349.9        15.7     56.4         0        0
996072132     350.0     349.9        15.5     56.4         0        0
996072433     350.0     349.9        15.5     56.4         0        0
996072734     350.0     349.9        15.8     56.4         0        0
996073035     350.0     349.9        15.4     56.4         0        0
996073336     350.0     349.9        15.2     56.4         0        0
996073637     350.0     349.9        14.7     56.4         0        0
996073938     350.0     349.9        15.5     56.4         0        0
996074240     350.0     349.9        15.0     56.4         0        0
996074541     350.0     349.9        15.4     56.4         0        0
996074842     350.0     349.9        14.4     56.4         0        0
996075143     350.0     349.9        14.4     56.4         0        0
996075444     350.0     349.9        14.8     56.4         0        0
996075745     350.0     349.9        15.1     56.4         0        0
996076046     350.0     349.9        15.7     56.4         0        0
996076347     350.0     349.9        14.9     56.4         0        0
996076648     350.0     349.9        15.5     56.4         0        0
996076949     350.0     349.9        15.1     56.4         0        0
996077250     350.0     349.9        15.2     56.4         0        0
996077552     350.0     349.9        15.1     56.4         0        0
996077853     350.0     349.9        15.7     56.4         0        0
996078154     350.0     349.9        15.7     56.4         0        0
996078455     350.0     349.9        14.5     56.4         0        0
996078756     350.0     349.9        16.3     56.4         0        0
996079057     350.0     349.9        15.8     56.4         0        0
996079358     350.0     349.9        16.0     56.4         0        0
996079659     350.0     349.9        15.6     56.4         0        0
996079960     350.0     349.9        16.1     56.4         0        0
996080261     350.0     349.9        14.9     56.4         0        0
996080563     350.0     349.9        14.5     56.4         0        0
996080864     350.0     349.9        15.3     56.4         0        0
996081165     350.0     349.9        15.1     56.4         0        0
996081466     350.0     349.9        14.9     56.4         0        0
996081767     350.0     349.9        14.7     56.4         0        0
996082068     350.0     349.9        16.4     56.4         0        0
996082369     350.0     349.9        14.6     56.4         0        0
996082670     350.0     349.9        14.9     56.4         0        0
996082971     350.0     349.9        14.3     56.4         0        0
996083272     350.0     349.9        15.2     56.4         0        0
996083573     350.0     349.9        15.7     56.4         0        0
996083875     350.0     349.9        15.1     56.4         0        0
996084176     350.0     349.9        14.8     56.4         0        0
996084477     350.0     349.9        15.8     56.4         0        0
996084778     350.0     349.9        16.1     56.4         0        0
996085079     350.0     349.9        15.1     56.4         0        0
996085380     350.0     349.9        15.9     56.4         0        0
996085681     350.0     349.9        15.5     56.4         0        0
996085982     350.0     349.9        15.4     56.4         0        0
996086283     350.0     349.9        16.0     56.4         0        0
996086584     350.0     349.9        16.1     56.4         0        0
996086886     350.0     349.9        15.4     56.4         0        0
996087187     350.0     349.9        16.0     56.4         0        0
996087488     350.0     349.9        15.4     56.4         0        0
996087789     350.0     349.9        15.1     56.4         0        0
996088090     350.0     349.9        15.9     56.4         0        0
996088391     350.0     349.9        14.9     56.4         0        0
996088692     350.0     349.9        15.6     56.4         0        0
996088993     350.0     349.9        15.7     56.4         0        0
996089294     350.0     349.9        15.3     56.4         0        0
996089595     350.0     349.9        16.6     56.4         0        0
996089896     350.0     349.9        15.7     56.4         0        0
996090198     350.0     349.9        15.7     56.4         0        0
996090499     350.0     349.9        15.0     56.4         0        0
996090800     350.0     349.9        15.0     56.4         0        0
996091101     350.0     349.9        15.2     56.4         0        0
996091402     350.0     349.9        15.7     56.4         0        0
996091703     350.0     349.9        15.3     56.4         0        0
996092004     350.0     349.9        15.0     56.4         0        0
996092305     350.0     349.9        15.0     56.4         0        0
996092606     350.0     349.9        14.5     56.4         0        0
996092907     350.0     349.9        14.6     56.4         0        0
996093209     350.0     349.9        14.3     56.4         0        0
996093510     350.0     349.9        14.4     56.4         0        0
996093811     350.0     349.9        15.4     56.4         0        0
996094112     350.0     349.9        15.3     56.4         0        0
996094413     350.0     349.9        15.3     56.4         0        0
996094714     350.0     349.9        15.5     56.4         0        0
996095015     350.0     349.9        15.8     56.4         0        0
996095316     350.0     349.9        15.5     56.4         0        0
996095617     350.0     349.9        14.8     56.4         0        0
996095918     350.0     349.9        15.9     56.4         0        0
996096219     350.0     349.9        15.5     56.4         0        0
996096521     350.0     349.9        14.8     56.4         0        0
996096822     350.0     349.9        16.1     56.4         0        0
996097123     350.0     349.9        15.6     56.4         0        0
996097424     350.0     349.9        14.5     56.4         0        0
996097725     350.0     349.9        15.9     56.4         0        0
996098026     350.0     349.9        16.1     56.4         0        0
996098327     350.0     349.9        17.4     56.4         0        0
996098628     350.0     349.9        16.0     56.4         0        0
996098929     350.0     349.9        16.0     56.4         0        0
996099230     350.0     349.9        15.6     56.4         0        0
996099532     350.0     349.9        15.9     56.4         0        0
996099833     350.0     349.9        15.4     56.4         0        0
996100134     350.0     349.9        14.6     56.4         0        0
996100435     350.0     349.9        15.5     56.4         0        0
996100736     350.0     349.9        14.8     56.4         0        0
996101037     350.0     349.9        15.7     56.4         0        0
996101338     350.0     349.9        15.8     56.4         0        0
996101639     350.0     349.9        15.4     56.4         0        0
996101940     350.0     349.9        15.4     56.4         0        0
996102241     350.0     349.9        15.4     56.4         0        0
996102543     350.0     349.9        15.6     56.4         0        0
996102844     350.0     349.9        16.2     56.4         0        0
996103145     350.0     349.9        15.8     56.4         0        0
996103446     350.0     349.9        15.4     56.4         0        0
996103747     350.0     349.9        16.3     56.4         0        0
996104048     350.0     349.9        15.6     56.4         0        0
996104349     350.0     349.9        15.5     56.4         0        0
996104650     350.0     349.9        16.5     56.4         0        0
996104951     350.0     349.9        15.6     56.4         0        0
996105252     350.0     349.9        16.4     56.4         0        0
