%time       con-rate  rep-rate  rep-time(ms)  Net I/O  timo-err  oth-err
1007484472     350.0     349.9        19.8     56.4         0        0
1007484773     350.0     349.9        20.0     56.4         0        0
1007485074     350.0     349.9        19.8     56.4         0        0
1007485375     350.0     349.9        19.5     56.4         0        0
1007485676     350.0     349.9        20.3     56.4         0        0
1007485977     350.0     349.9        19.7     56.4         0        0
1007486278     350.0     349.9        19.5     56.4         0        0
1007486579     350.0     349.9        19.5     56.4         0        0
1007486880     350.0     349.9        20.0     56.4         0        0
1007487181     350.0     349.9        19.9     56.4         0        0
1007487483     350.0     349.9        19.7     56.4         0        0
1007487784     350.0     349.9        20.3     56.4         0        0
1007488085     350.0     349.9        20.1     56.4         0        0
1007488386     350.0     349.9        19.2     56.4         0        0
1007488687     350.0     349.9        19.5     56.4         0        0
1007488988     350.0     349.9        19.7     56.4         0        0
1007489289     350.0     349.9        19.6     56.4         0        0
1007489590     350.0     349.9        19.2     56.4         0        0
1007489891     350.0     349.9        19.2     56.4         0        0
1007490193     350.0     349.9        19.3     56.4         0        0
1007490494     350.0     349.9        20.6     56.4         0        0
1007490795     350.0     349.9        18.7     56.4         0        0
1007491096     350.0     349.9        19.9     56.4         0        0
1007491397     350.0     349.9        19.5     56.4         0        0
1007491698     350.0     349.9        18.6     56.4         0        0
1007491999     350.0     349.9        19.4     56.4         0        0
1007492300     350.0     349.9        19.1     56.4         0        0
1007492601     350.0     349.9        18.8     56.4         0        0
1007492902     350.0     349.9        18.9     56.4         0        0
1007493204     350.0     349.9        19.1     56.4         0        0
1007493505     350.0     349.9        19.4     56.4         0        0
1007493806     350.0     349.9        19.6     56.4         0        0
1007494107     350.0     349.9        20.3     56.4         0        0
1007494408     350.0     349.9        19.6     56.4         0        0
1007494709     350.0     349.9        19.1     56.4         0        0
1007495010     350.0     349.9        19.1     56.4         0        0
1007495311     350.0     349.9        18.7     56.4         0        0
1007495612     350.0     349.9        18.6     56.4         0        0
1007495913     350.0     349.9        20.8     56.4         0        0
1007496215     350.0     349.9        19.2     56.4         0        0
1007496516     350.0     349.9        19.3     56.4         0        0
1007496817     350.0     349.9        19.6     56.4         0        0
1007497118     350.0     349.9        19.4     56.4         0        0
1007497419     350.0     349.9        19.1     56.4         0        0
1007497720     350.0     349.9        20.2     56.4         0        0
1007498021     350.0     349.9        19.9     56.4         0        0
1007498322     350.0     349.9        18.4     56.4         0        0
1007498623     350.0     349.9        18.7     56.4         0        0
1007498925     350.0     349.9        19.2     56.4         0        0
1007499226     350.0     349.9        19.8     56.4         0        0
1007499527     350.0     349.9        19.4     56.4         0        0
1007499828     350.0     349.9        19.0     56.4         0        0
1007500129     350.0     349.9        18.9     56.4         0        0
1007500430     350.0     349.9        19.8     56.4         0        0
1007500731     350.0     349.9        20.0     56.4         0        0
1007501032     350.0     349.9        19.4     56.4         0        0
1007501333     350.0     349.9        20.6     56.4         0        0
1007501635     350.0     349.9        19.7     56.4         0        0
1007501936     350.0     349.9        19.1     56.4         0        0
1007502237     350.0     349.9        19.3     56.4         0        0
1007502538     350.0     349.9        19.3     56.4         0        0
1007502839     350.0     349.9        19.1     56.4         0        0
1007503140     350.0     349.9        19.7     56.4         0        0
1007503441     350.0     349.9        20.8     56.4         0        0
1007503742     350.0     349.9        20.0     56.4         0        0
1007504043     350.0     349.9        20.7     56.4         0        0
1007504344     350.0     349.9        19.6     56.4         0        0
1007504646     350.0     349.9        19.6     56.4         0        0
1007504947     350.0     349.9        20.1     56.4         0        0
1007505248     350.0     349.9        20.1     56.4         0        0
1007505549     350.0     349.9        19.6     56.4         0        0
1007505850     350.0     349.9        18.4     56.4         0        0
1007506151     350.0     349.9        19.5     56.4         0        0
1007506452     350.0     349.9        18.9     56.4         0        0
1007506753     350.0     349.9        19.1     56.4         0        0
1007507054     350.0     349.9        19.6     56.4         0        0
1007507355     350.0     349.9        19.1     56.4         0        0
1007507657     350.0     349.9        19.4     56.4         0        0
1007507958     350.0     349.9        20.5     56.4         0        0
1007508259     350.0     349.9        19.4     56.4         0        0
1007508560     350.0     349.9        19.7     56.4         0        0
1007508861     350.0     349.9        21.3     56.4         0        0
1007509162     350.0     349.9        20.1     56.4         0        0
1007509463     350.0     349.9        19.2     56.4         0        0
1007509764     350.0     349.9        20.0     56.4         0        0
1007510065     350.0     349.9        19.7     56.4         0        0
1007510367     350.0     349.9        20.2     56.4         0        0
1007510668     350.0     349.9        19.3     56.4         0        0
1007510969     350.0     349.9        19.9     56.4         0        0
1007511270     350.0     349.9        19.3     56.4         0        0
